title,date
"The Legend of Korra: Book One: Air: The Aftermath","9/16/20"
"The Legend of Korra: Book One: Air: And the Winner Is…","9/16/20"
"The Legend of Korra: Book One: Air: The Spirit of Competition","9/16/20"
"The Legend of Korra: Book One: Air: The Voice in the Night","9/15/20"
"The Legend of Korra: Book One: Air: The Revelation","9/13/20"
"The Legend of Korra: Book One: Air: A Leaf in the Wind","9/12/20"
"The Legend of Korra: Book One: Air: Welcome to Republic City","9/12/20"
"Attack on Titan: Season 1: Wall: Raid on Stohess District, Part 3","8/10/20"
"Attack on Titan: Season 1: Mercy: Raid on Stohess District, Part 2","8/10/20"
"Attack on Titan: Season 1: Smile: Raid on Stohess District, Part 1","8/10/20"
"Attack on Titan: Season 1: The Defeated: 57th Expedition Beyond the Walls, Part 6","8/10/20"
"Attack on Titan: Season 1: Crushing Blow: 57th Expedition Beyond the Walls, Part 5","8/10/20"
"Attack on Titan: Season 1: Erwin Smith: 57th Expedition Beyond the Walls, Part 4","8/9/20"
"Attack on Titan: Season 1: Bite: 57th Expedition Beyond the Walls, Part 3","8/9/20"
"Attack on Titan: Season 1: Forest of Giant Trees: 57th Expedition Beyond the Walls, Part 2","8/9/20"
"Attack on Titan: Season 1: Female Titan: 57th Expedition Beyond the Walls, Part 1","8/9/20"
"Attack on Titan: Season 1: What Should be Done: Prelude to the Counterattack, Part 3","8/9/20"
"Attack on Titan: Season 1: Special Operations Squad: Prelude to the Counterattack, Part 2","8/8/20"
"Attack on Titan: Season 1: Still Can't See: Prelude to the Counterattack, Part 1","8/8/20"
"Attack on Titan: Season 1: Primal Desires: Battle of Trost District, Part 9","8/8/20"
"Attack on Titan: Season 1: Wound: Battle of Trost District, Part 8","8/8/20"
"Attack on Titan: Season 1: Icon: Battle of Trost District, Part 7","8/8/20"
"Attack on Titan: Season 1: Answer: Battle of Trost District, Part 6","8/8/20"
"Attack on Titan: Season 1: Where the Left Arm Went: Battle of Trost District, Part 5","8/8/20"
"Attack on Titan: Season 1: Hearing the Heartbeat: Battle of Trost District, Part 4","8/8/20"
"Attack on Titan: Season 1: The Small Blade: Battle of Trost District, Part 3","8/7/20"
"Attack on Titan: Season 1: The World She Saw: Battle of Trost District, Part 2","8/7/20"
"Attack on Titan: Season 1: First Battle: Battle of Trost District, Part 1","8/7/20"
"Attack on Titan: Season 1: Night of the Graduation Ceremony: Humanity Rises Again, Part 2","8/7/20"
"Attack on Titan: Season 1: A Dim Light in the Darkness of Despair: Humanity Rises Again, Part 1","8/7/20"
"Attack on Titan: Season 1: That Day: The Fall of Shiganshina, Part 2","8/7/20"
"Attack on Titan: Season 1: To You, After 2,000 Years: The Fall of Shiganshina, Part 1","8/7/20"
"Neon Genesis Evangelion: Season 1: The Beast That Shouted 'I' at the Heart of the World","7/14/20"
"Neon Genesis Evangelion: Season 1: The Ending World","7/14/20"
"Neon Genesis Evangelion: Season 1: The Last Cometh","7/14/20"
"EVANGELION: DEATH (TRUE)²","7/13/20"
"Neon Genesis Evangelion: Season 1: Tears","7/12/20"
"Neon Genesis Evangelion: Season 1: Staying Human","7/12/20"
"Neon Genesis Evangelion: Season 1: The Birth of Nerv","7/12/20"
"Neon Genesis Evangelion: Season 1: Of the Shapes of Hearts and Humans","7/12/20"
"Neon Genesis Evangelion: Season 1: A Man’s Battle","7/12/20"
"Neon Genesis Evangelion: Season 1: Life and Death Decisions","7/12/20"
"Neon Genesis Evangelion: Season 1: The Fourth to be Qualified","7/12/20"
"Neon Genesis Evangelion: Season 1: The Sickness unto Death, and Then…","7/12/20"
"Neon Genesis Evangelion: Season 1: Lies and Silence","7/12/20"
"Neon Genesis Evangelion: Season 1: Seele, the Seat of the Soul","7/12/20"
"Neon Genesis Evangelion: Season 1: Angel Infiltration","7/12/20"
"Neon Genesis Evangelion: Season 1: A Miracle’s Worth","7/12/20"
"Neon Genesis Evangelion: Season 1: In the Still Darkness","7/12/20"
"Neon Genesis Evangelion: Season 1: The Magma Diver","7/12/20"
"Neon Genesis Evangelion: Season 1: Mind, Matching, Moment","7/12/20"
"Neon Genesis Evangelion: Season 1: Asuka Arrives in Japan","7/12/20"
"Neon Genesis Evangelion: Season 1: The Works of Man","7/12/20"
"Neon Genesis Evangelion: Season 1: Showdown in Tokyo-3","7/12/20"
"Neon Genesis Evangelion: Season 1: Rei, Beyond the Heart","7/12/20"
"Neon Genesis Evangelion: Season 1: Rain, After Running Away","7/11/20"
"Neon Genesis Evangelion: Season 1: The Silent Phone","7/11/20"
"Neon Genesis Evangelion: Season 1: Unfamiliar Ceilings","7/11/20"
"Neon Genesis Evangelion: Season 1: Angel Attack","7/11/20"
"Disclosure","7/11/20"
